Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-10-15 16:20:04,false,"Toronto - Easy Run","5.59","416","00:33:59","127","141","2.7","155","187","6:04","5:18","82","65","1.07","8.9","9.5","297","5:56","335","0.0","326","496","5,250","No","00:03:39.3","7","--","--","--","00:33:46","00:34:35","82","127"
Running,2024-10-13 15:47:25,false,"Toronto - Stride Repeats","6.21","459","00:38:56","125","145","2.8","154","192","6:16","3:23","97","90","1.02","9.1","9.3","302","6:11","334","0.0","316","601","5,934","No","00:00:03.5","24","--","--","--","00:38:50","00:40:18","71","115"
Running,2024-10-10 14:27:13,false,"Toronto - Easy Run","14.91","1,087","01:28:41","132","145","3.5","152","173","5:57","4:23","82","92","1.09","8.9","9.7","298","5:59","322","0.0","318","550","13,534","No","00:00:08.9","17","--","--","--","01:28:20","01:37:01","66","111"
Running,2024-10-08 16:01:52,false,"Toronto - Progression Run","7.32","514","00:40:03","132","148","3.1","156","172","5:28","4:08","77","70","1.16","8.5","9.9","286","5:27","364","0.0","353","544","6,200","No","00:00:03.4","9","--","--","--","00:39:56","00:44:36","93","113"
Running,2024-10-07 15:20:00,false,"Toronto - Stride Repeats","7.41","530","00:42:14","134","150","3.1","154","195","5:42","3:07","80","86","1.12","8.7","9.6","291","5:42","353","0.0","337","625","6,506","No","00:00:20","24","--","--","--","00:41:54","00:47:04","72","116"
Running,2024-10-04 08:22:18,false,"Toronto - Easy Run","16.47","1,247","01:40:02","139","155","4.0","155","167","6:04","4:19","166","135","1.06","9.0","9.5","297","6:02","326","0.0","320","463","15,458","No","00:00:01.7","19","--","--","--","01:39:47","01:44:47","72","121"
Running,2024-10-02 15:05:09,false,"Toronto - Progression Run","11.57","861","01:06:17","141","156","3.6","153","171","5:44","4:11","110","111","1.14","8.7","9.9","296","5:40","349","0.0","341","589","10,084","No","00:00:31.3","13","--","--","--","01:05:54","01:10:58","72","114"
Running,2024-09-30 15:20:26,false,"Toronto - Stride Repeats","8.08","601","00:48:08","136","160","3.3","153","243","5:57","3:25","96","93","1.10","8.9","9.6","300","5:53","355","0.0","336","716","7,256","No","00:00:20","29","--","--","--","00:47:59","00:52:39","71","112"
Running,2024-09-27 08:39:18,false,"Toronto - Easy Run","18.28","1,366","02:00:05","132","150","3.7","153","200","6:34","4:23","165","129","0.99","9.3","9.2","306","6:32","302","0.0","297","468","18,238","No","00:00:05.1","21","--","--","--","01:59:36","02:05:35","73","135"
Running,2024-09-25 08:33:51,false,"Toronto - Progression Run","9.98","743","01:00:08","138","161","3.4","153","176","6:02","4:21","27","50","1.07","9.0","9.5","298","6:08","319","0.0","314","448","9,210","No","00:00:08.0","12","--","--","--","00:59:41","01:05:13","73","109"
Running,2024-09-23 14:29:12,false,"Toronto - Stride Repeats","8.30","640","00:49:38","141","167","3.5","151","187","5:59","3:21","72","72","1.10","8.9","9.7","305","5:57","339","0.0","324","670","7,420","No","00:00:20","29","--","--","--","00:49:29","00:52:40","70","111"
Running,2024-09-20 06:49:57,false,"Austin - Easy Run","18.23","1,404","02:00:05","139","158","3.9","153","163","6:35","5:31","113","104","0.99","9.3","9.2","306","6:34","293","0.0","291","453","18,292","No","00:00:05.1","21","--","--","--","01:59:41","02:08:00","131","159"
Running,2024-09-18 07:19:13,false,"Austin - Progression Run","10.26","794","01:03:30","141","166","3.6","152","174","6:11","4:59","69","69","1.05","9.1","9.5","305","6:12","314","0.0","309","451","9,614","No","00:02:59.8","12","--","--","--","01:03:22","01:06:46","129","158"
